83,al-Iqrar bi-wasitah al-wasa'il al-hadithah fi al-qadaya al-jina'iyah :: dirasah tahliliyah bayna al-shari`ah al-Islamiyah wa al-qanun al-Yamani / Nadeem Mohammed Hassan al-Tarzi.- Details in Pendeta Discovery
84,al-Iqrar fi ithbat al-da`wa fi al-qadaya al-madinah : dirasah muqaranah bayna al-qanun al-madani al-Irani wa-al-madhahib al-khamsah / Ghotbaddin Zahedian.- Details in Pendeta Discovery
85,Aliran dan pengaruh pemikiran akidah Lembaga Dakwah Islam Indonesia (LDII) di Provinsi Jambi : analisis dari perspektif pemikiran Islam / Faizin.- Details in Pendeta Discovery
86,Aliran tafsir di Indonesia : kajian perbandingan di antara al-Furqan fi tafsir al-Qur'an karya A. Hassan dan al-Ibriz lima'rifat tafsir al-Qur'an al-'aziz karya Kh. Bisri Mustofa / Mohammad Arif Abdurrazaq.- Details in Pendeta Discovery
87,Aliran-aliran kepercayaan di Malaysia : kajian khusus terhadap ajaran Qadiani / Siti Ramlah binti Ibrahim.- Details in Pendeta Discovery
88,al-Islam wa atharuhu fi akhlaq al-Malayuwiyin : al-tatawwur wa al-tahaddi bi-Malizia /  Abdel Razek Abdel Monem Ebrahem.- Details in Pendeta Discovery
89,|al-Istithmar fi al-waqf al-sunni fi al-`Iraq fi daw' tajribah jawhur, Maliziya dirasat tahliliyah naqdiyah / Intisar `Abd al-Jabar Mustafa.- Details in Pendeta Discovery|
90,al-Itar al-tarikhi li-mawaqif al-mustashriqin min al-qira'at al-Qur'aniyah : dirasat tahliliyah / Mohd Shamsul Hakim Abd Samad ; al-mushrif Dr. Sedek Ariffin.- Details in Pendeta Discovery
91,al-Ittijah al-fiqhi fi tafsir al-Razi / Faruq Muhammad `Arif Hasan.- Details in Pendeta Discovery
92,al-Janib al-fiqhi fi Tafsir al-tahrir wa-al-tanwir lil-Shaykh Muhammad al-Tahir ibn `Ashur : `ird wa tahlil / Khalid Said Yousif T Foushet.- Details in Pendeta Discovery
93,al-Jara'im al-muhdarah li-`ismah al-dima' fi qanun al-jara'im wa al-`uqubat al-Yamani : dirasah tahliliyah fi daw' ahkam al-shari`ah al-Islamiyah / Ali Hasan Mohammed Gamal.- Details in Pendeta Discovery
94,al-Jinayah `ala al-nafs bi-al-tasbib wa-al-mas'uliyah al-mutarattabah `alayha : dirasah muqaranah bayna al-fiqh al-Islami wa qanun al-`uqubat al-Urduni / Ahmad Muhammad `Isa al-Haj Khalil.- Details in Pendeta Discovery
95,Al-khalwah wa tatbiquha `inda turuq Sufiyyah fi Maliziya / Ahmad Najaa' bin Mokhtar ; al-mushrif Dr Wan Suhaimi Wan Abdullah.- Details in Pendeta Discovery
96,Al-Kharaj menurut sistem ekonomi Islam dan aplikasinya di Malaysia / Mohd. Faizal P.Rameli.- Details in Pendeta Discovery
97,|al-Khasa'is al-dhatiyah wa-al-ijtima`iyah li-muta`ati al-mukhaddirat : dirasah maydaniyah `ala markaz `ilaj wa ri`ayah wa ta'hil al-mudminin bi-Tajura', Libya / `Abd Allah al-Bashir Ibrahim Abu Sininah.- Details in Pendeta Discovery|
98,al-Khilafah al-Islamiyyah menurut al-Quran : suatu kajian terhadap kefahaman masyarakat Islam di Kuala Lumpur / Abu Zaki bin Hj. Ismail.- Details in Pendeta Discovery
99,al-Khitab al-Qur'ani li-ahl al-kitab wa-mawqifuhum minhu qadiman wa-hadithan / Hud Muhammad Mansur Qibas Aburas.- Details in Pendeta Discovery
100,Al-Khwarizmi's algebra and its application in the science of fara'id : an analysis of his kitab Al-Jabr Al-Muqabalah together with annotated Malay translation of the text / Madiha binti Baharuddin- Details in Pendeta Discovery
101,|al-Kufr bi al-ni'mat menurut al-Qur'an : kajian terhadap pemahaman masyarakat Islam di Lembah Pantai, Kuala Lumpur / Nurjanah.- Details in Pendeta Discovery|
